Mod:Item:MetaData, Localized Name
extracells:pattern.fluid:0, ME Fluid Pattern: Molten HECm-243 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten HECm-243 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of HECm-243 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten LECm-245 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten LECm-245 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of LECm-245 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten HECm-245 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten HECm-245 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of HECm-245 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten LECm-247 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten LECm-247 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of LECm-247 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten HECm-247 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten HECm-247 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of HECm-247 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten LEB-248 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten LEB-248 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of LEB-248 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten HEB-248 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten HEB-248 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of HEB-248 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten LECf-249 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten LECf-249 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of LECf-249 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten HECf-249 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten HECf-249 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of HECf-249 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten LECf-251 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten LECf-251 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of LECf-251 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten HECf-251 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten HECf-251 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of HECf-251 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted TBU Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted TBU Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted TBU Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LEU-233 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LEU-233 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted LEU-233 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HEU-233 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HEU-233 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted HEU-233 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LEU-235 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LEU-235 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted LEU-235 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HEU-235 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HEU-235 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted HEU-235 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LEN-236 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LEN-236 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted LEN-236 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HEN-236 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HEN-236 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted HEN-236 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LEP-239 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LEP-239 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted LEP-239 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HEP-239 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HEP-239 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted HEP-239 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LEP-241 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LEP-241 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted LEP-241 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HEP-241 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HEP-241 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted HEP-241 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LEA-242 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LEA-242 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted LEA-242 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HEA-242 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HEA-242 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted HEA-242 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LECm-243 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LECm-243 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted LECm-243 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HECm-243 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HECm-243 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted HECm-243 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LECm-245 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LECm-245 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted LECm-245 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HECm-245 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HECm-245 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted HECm-245 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LECm-247 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LECm-247 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted LECm-247 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HECm-247 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HECm-247 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted HECm-247 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LEB-248 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LEB-248 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted LEB-248 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HEB-248 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HEB-248 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted HEB-248 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LECf-249 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LECf-249 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted LECf-249 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HECf-249 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HECf-249 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted HECf-249 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LECf-251 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted LECf-251 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted LECf-251 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HECf-251 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted HECf-251 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Depleted HECf-251 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Eutectic NaK-Redstone Mixture
extracells:pattern.fluid:0, ME Fluid Pattern: Hot Eutectic NaK-Redstone Mixture
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Quartz
extracells:pattern.fluid:0, ME Fluid Pattern: Eutectic NaK-Quartz Mixture
extracells:pattern.fluid:0, ME Fluid Pattern: Hot Eutectic NaK-Quartz Mixture
extracells:pattern.fluid:0, ME Fluid Pattern: Eutectic NaK-Gold Mixture
extracells:pattern.fluid:0, ME Fluid Pattern: Hot Eutectic NaK-Gold Mixture
extracells:pattern.fluid:0, ME Fluid Pattern: Eutectic NaK-Glowstone Mixture
extracells:pattern.fluid:0, ME Fluid Pattern: Hot Eutectic NaK-Glowstone Mixture
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Lapis
extracells:pattern.fluid:0, ME Fluid Pattern: Eutectic NaK-Lapis Mixture
extracells:pattern.fluid:0, ME Fluid Pattern: Hot Eutectic NaK-Lapis Mixture
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Diamond
extracells:pattern.fluid:0, ME Fluid Pattern: Eutectic NaK-Diamond Mixture
extracells:pattern.fluid:0, ME Fluid Pattern: Hot Eutectic NaK-Diamond Mixture
extracells:pattern.fluid:0, ME Fluid Pattern: Eutectic NaK-Helium Mixture
extracells:pattern.fluid:0, ME Fluid Pattern: Hot Eutectic NaK-Helium Mixture
extracells:pattern.fluid:0, ME Fluid Pattern: Eutectic NaK-Ender Mixture
extracells:pattern.fluid:0, ME Fluid Pattern: Hot Eutectic NaK-Ender Mixture
extracells:pattern.fluid:0, ME Fluid Pattern: Eutectic NaK-Cryotheum Mixture
extracells:pattern.fluid:0, ME Fluid Pattern: Hot Eutectic NaK-Cryotheum Mixture
extracells:pattern.fluid:0, ME Fluid Pattern: Eutectic NaK-Iron Mixture
extracells:pattern.fluid:0, ME Fluid Pattern: Hot Eutectic NaK-Iron Mixture
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Emerald
extracells:pattern.fluid:0, ME Fluid Pattern: Eutectic NaK-Emerald Mixture
extracells:pattern.fluid:0, ME Fluid Pattern: Hot Eutectic NaK-Emerald Mixture
extracells:pattern.fluid:0, ME Fluid Pattern: Eutectic NaK-Copper Mixture
extracells:pattern.fluid:0, ME Fluid Pattern: Hot Eutectic NaK-Copper Mixture
extracells:pattern.fluid:0, ME Fluid Pattern: Eutectic NaK-Tin Mixture
extracells:pattern.fluid:0, ME Fluid Pattern: Hot Eutectic NaK-Tin Mixture
extracells:pattern.fluid:0, ME Fluid Pattern: Eutectic NaK-Magnesium Mixture
extracells:pattern.fluid:0, ME Fluid Pattern: Hot Eutectic NaK-Magnesium Mixture
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid XP
extracells:pattern.fluid:0, ME Fluid Pattern: Creeper Acid
extracells:pattern.fluid:0, ME Fluid Pattern: fluid.unused.name
extracells:pattern.fluid:0, ME Fluid Pattern: Matter Plasma
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Tritanium
extracells:pattern.fluid:0, ME Fluid Pattern: Nutrient Distillation
extracells:pattern.fluid:0, ME Fluid Pattern: Dew of the Void
extracells:pattern.fluid:0, ME Fluid Pattern: Vapor of Levity
extracells:pattern.fluid:0, ME Fluid Pattern: Hootch
extracells:pattern.fluid:0, ME Fluid Pattern: Rocket Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Fire Water
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Sunshine
extracells:pattern.fluid:0, ME Fluid Pattern: Cloud Seed
extracells:pattern.fluid:0, ME Fluid Pattern: Concentrated Cloud Seed
extracells:pattern.fluid:0, ME Fluid Pattern: Seared Stone
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Obsidian
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Clay
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Dirt
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Glass
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Blue Slime
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Purple Slime
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Draconium
extracells:terminal.fluid.wireless, item.extracells.terminal.fluid.wireless.name
extracells:storage.component:0, 256k ME Storage Component
extracells:storage.component:1, 1024k ME Storage Component
extracells:storage.component:2, 4096k ME Storage Component
extracells:storage.component:3, 16384k ME Storage Component
extracells:storage.component:4, 1k ME Fluid Storage Component
extracells:storage.component:5, 4k ME Fluid Storage Component
extracells:storage.component:6, 16k ME Fluid Storage Component
extracells:storage.component:7, 64k ME Fluid Storage Component
extracells:storage.component:8, 256k ME Fluid Storage Component
extracells:storage.component:9, 1024k ME Fluid Storage Component
extracells:storage.component:10, 4096k ME Fluid Storage Component
extracells:storage.component:11, 1k ME Gas Storage Component
extracells:storage.component:12, 4k ME Gas Storage Component
extracells:storage.component:13, 16k ME Gas Storage Component
extracells:storage.component:14, 64k ME Gas Storage Component
extracells:storage.component:15, 256k ME Gas Storage Component
extracells:storage.component:16, 1024k ME Gas Storage Component
extracells:storage.component:17, 4096k ME Gas Storage Component
extracells:storage.casing:0, Advanced Storage Housing
extracells:storage.casing:1, Fluid Storage Housing
extracells:storage.casing:2, Gas Storage Housing
extracells:fluid.item, item.extracells.fluid.item.name
extracells:storage.fluid.portable, item.extracells.storage.fluid.portable.name
extracells:storage.gas.portable, item.extracells.storage.gas.portable.name
extracells:pattern.crafting, item.extracells.pattern.crafting.name
extracells:terminal.universal.wireless, item.extracells.terminal.universal.wireless.name
extracells:terminal.gas.wireless, item.extracells.terminal.gas.wireless.name
extracells:oc.upgrade:2, ME Upgrade (Tier 1)
extracells:oc.upgrade:1, ME Upgrade (Tier 2)
extracells:oc.upgrade:0, ME Upgrade (Tier 3)
extracells:gas.item, item.extracells.gas.item.name
extracells:certustank, extracells.block.certustank.name
extracells:walrus, Walrus
extracells:fluidcrafter, ME Fluid Assembler
extracells:ecbaseblock, ME Fluid Interface
extracells:fluidfiller, ME Fluid Auto Filler
extracells:hardmedrive, Blast resistant ME Drive
extracells:vibrantchamberfluid, Fluid Vibration Chamber
sonarcore:reinforcedstoneblock, Reinforced Stone
sonarcore:reinforcedstonestairs, Reinforced Stone Stairs
sonarcore:reinforcedstonefence, Reinforced Stone Fence
sonarcore:reinforcedstonegate, Reinforced Stone Gate
sonarcore:reinforcedstonebrick, Reinforced Stone Brick
sonarcore:reinforcedstonebrickstairs, Reinforced Stone Brick Stairs
sonarcore:reinforcedstonebrickfence, Reinforced Stone Brick Fence
sonarcore:reinforcedstonebrickgate, Reinforced Stone Brick Gate
sonarcore:reinforceddirtblock, Reinforced Dirt
sonarcore:reinforceddirtstairs, Reinforced Dirt Stairs
sonarcore:reinforceddirtfence, Reinforced Dirt Fence
sonarcore:reinforceddirtgate, Reinforced Dirt Gate
sonarcore:reinforceddirtbrick, Reinforced Dirt Brick
sonarcore:reinforceddirtbrickstairs, Reinforced Dirt Brick Stairs
sonarcore:reinforceddirtbrickfence, Reinforced Dirt Brick Fence
sonarcore:reinforceddirtbrickgate, Reinforced Dirt Brick Gate
sonarcore:stablestone_normal, Stable Stone
sonarcore:stablestonerimmed_normal, Rimmed Stable Stone
sonarcore:stablestoneblackrimmed_normal, Rimmed Black Stable Stone
sonarcore:stablestone_black, Black Stable Stone
sonarcore:stablestonerimmed_black, Black Rimmed Stable Stone
sonarcore:stablestoneblackrimmed_black, Black Rimmed Black Stable Stone
sonarcore:stablestone_blue, Blue Stable Stone
sonarcore:stablestonerimmed_blue, Blue Rimmed Stable Stone
sonarcore:stablestoneblackrimmed_blue, Blue Rimmed Black Stable Stone
sonarcore:stablestone_brown, Brown Stable Stone
sonarcore:stablestonerimmed_brown, Brown Rimmed Stable Stone
sonarcore:stablestoneblackrimmed_brown, Brown Rimmed Black Stable Stone
sonarcore:stablestone_cyan, Cyan Stable Stone
sonarcore:stablestonerimmed_cyan, Cyan Rimmed Stable Stone
sonarcore:stablestoneblackrimmed_cyan, Cyan Rimmed Black Stable Stone
sonarcore:stablestone_green, Green Stable Stone
sonarcore:stablestonerimmed_green, Green Rimmed Stable Stone
sonarcore:stablestoneblackrimmed_green, Green Rimmed Black Stable Stone
sonarcore:stablestone_lightblue, Light Blue Stable Stone
sonarcore:stablestonerimmed_lightblue, Light Blue Rimmed Stable Stone
sonarcore:stablestoneblackrimmed_lightblue, Light Blue Rimmed Black Stable Stone
sonarcore:stablestone_lightgrey, Light Stable Stone
sonarcore:stablestonerimmed_lightgrey, Light Rimmed Stable Stone
sonarcore:stablestoneblackrimmed_lightgrey, Light Rimmed Black Stable Stone
sonarcore:stablestone_lime, Lime Stable Stone
sonarcore:stablestonerimmed_lime, Lime Rimmed Stable Stone
sonarcore:stablestoneblackrimmed_lime, Lime Rimmed Black Stable Stone
sonarcore:stablestone_magenta, Magenta Stable Stone
sonarcore:stablestonerimmed_magenta, Magenta Rimmed Stable Stone
sonarcore:stablestoneblackrimmed_magenta, Magenta Rimmed Black Stable Stone
sonarcore:stablestone_orange, Orange Stable Stone
sonarcore:stablestonerimmed_orange, Orange Rimmed Stable Stone
sonarcore:stablestoneblackrimmed_orange, Orange Rimmed Black Stable Stone
sonarcore:stablestone_pink, Pink Stable Stone
sonarcore:stablestonerimmed_pink, Pink Rimmed Stable Stone
sonarcore:stablestoneblackrimmed_pink, Pink Rimmed Black Stable Stone
sonarcore:stablestone_plain, Plain Stable Stone
sonarcore:stablestonerimmed_plain, Plain Rimmed Stable Stone
sonarcore:stablestoneblackrimmed_plain, Plain Rimmed Black Stable Stone
sonarcore:stablestone_purple, Purple Stable Stone
sonarcore:stablestonerimmed_purple, Purple Rimmed Stable Stone
sonarcore:stablestoneblackrimmed_purple, Purple Rimmed Black Stable Stone
sonarcore:stablestone_red, Red Stable Stone
sonarcore:stablestonerimmed_red, Red Rimmed Stable Stone
sonarcore:stablestoneblackrimmed_red, Red Rimmed Black Stable Stone
sonarcore:stablestone_yellow, Yellow Stable Stone
sonarcore:stablestonerimmed_yellow, Yellow Rimmed Stable Stone
sonarcore:stablestoneblackrimmed_yellow, Yellow Rimmed Black  Stable Stone
sonarcore:stableglass, Stable Glass
sonarcore:clearstableglass, Clear Stable Glass
fluxnetworks:fluxblock, Flux Block
fluxnetworks:flux, Flux
fluxnetworks:fluxcore, Flux Core
fluxnetworks:fluxconfigurator, Flux Configurator
fluxnetworks:adminconfigurator, Admin Configurator
fluxnetworks:fluxplug, Flux Plug
fluxnetworks:fluxpoint, Flux Point
fluxnetworks:fluxcontroller, Flux Controller
fluxnetworks:fluxstorage, Basic Flux Storage
fluxnetworks:herculeanfluxstorage, Herculean Flux Storage
fluxnetworks:gargantuanfluxstorage, Gargantuan Flux Storage
microblockcbe:saw_stone, Stone Saw
microblockcbe:saw_iron, Iron Saw
microblockcbe:saw_diamond, Diamond Saw
microblockcbe:stone_rod, Stone Rod
inventorypets:cow_pet, Cow Pet
inventorypets:sheep_pet, Sheep Pet
inventorypets:pig_pet, Pig Pet
inventorypets:chicken_pet, Chicken Pet
inventorypets:squid_pet, Squid Pet
inventorypets:ocelot_pet, Ocelot Pet
inventorypets:mooshroom_pet, Mooshroom Pet
inventorypets:ghast_pet, Ghast Pet
inventorypets:spider_pet, Spider Pet
inventorypets:iron_golem_pet, Iron Golem Pet
inventorypets:snow_golem_pet, Snow Golem Pet
inventorypets:enderman_pet, Enderman Pet
inventorypets:creeper_pet, Creeper Pet
inventorypets:magma_cube_pet, Magma Cube Pet
inventorypets:wither_pet, Wither Pet
inventorypets:blaze_pet, Blaze Pet
inventorypets:bed_pet, Bed Pet
inventorypets:chest_pet, Chest Pet
inventorypets:double_chest_pet, Double Chest Pet
inventorypets:ender_chest_pet, Ender Chest Pet
inventorypets:furnace_pet, Furnace Pet
inventorypets:crafting_table_pet, Crafting Table Pet
inventorypets:enchanting_table_pet, Enchanting Table Pet
inventorypets:jukebox_pet, Jukebox Pet
inventorypets:anvil_pet, Anvil Pet
inventorypets:brewing_stand_pet, Brewing Stand Pet
inventorypets:nether_portal_pet, Nether Portal Pet
inventorypets:sponge_pet, Sponge Pet
inventorypets:purplicious_cow_pet, Purplicious Cow Pet
inventorypets:mickerson_pet, Mickerson
inventorypets:pingot_pet, Pingot Pet
inventorypets:qcm_pet, Quantum Crystal Monster Pet
inventorypets:banana_pet, Banana Pet
inventorypets:loot_pet, Loot Pet
inventorypets:slime_pet, Slime Pet
inventorypets:cloud_pet, Cloud Pet
inventorypets:pufferfish_pet, Pufferfish Pet
inventorypets:black_hole_pet, Black Hole Pet
inventorypets:quiver_pet, Quiver Pet
inventorypets:pacman_pet, Pac-Man Pet
inventorypets:cheetah_pet, Cheetah Pet
inventorypets:house_pet, House Pet
inventorypets:silverfish_pet, Silverfish Pet
inventorypets:wolf_pet, Wolf Pet
inventorypets:apple_pet, Apple Pet
inventorypets:shield_pet, Shield Pet
inventorypets:heart_pet, Heart Pet
inventorypets:moon_pet, Moon Pet
inventorypets:dubstep_pet, Dubstep Pet
inventorypets:juggernaut_pet, Juggernaut Pet
inventorypets:illuminati_pet, Illuminati Pet
inventorypets:grave_pet, Grave Pet
inventorypets:nugget_diamond, Diamond Nugget
inventorypets:nugget_obsidian, Obsidian Nugget
inventorypets:nugget_emerald, Emerald Nugget
inventorypets:nugget_coal, Coal Nugget
inventorypets:nugget_lapis, Lapis Nugget
inventorypets:nugget_ender, Ender Nugget
inventorypets:feed_bag, Feed Bag
inventorypets:siamese_gift, Gift
inventorypets:holiday_cookie, Holiday Cookie
inventorypets:mug_egg_nog, Mug of Egg Nog
inventorypets:candy_cane, Candy Cane
inventorypets:item_gift, Gift
inventorypets:solstice_helmet, Solstice Helmet
inventorypets:solstice_chestplate, Solstice Chestplate
inventorypets:solstice_leggings, Solstice Leggings
inventorypets:solstice_boots, Solstice Boots
inventorypets:solstice_sword, Solstice Sword
inventorypets:patreon_shirt, Cool T-Shirt
inventorypets:patreon_head, Purplicious Cow Head
inventorypets:pet_christmas_tree, Christmas Tree Pet
inventorypets:pet_menorah, Menorah Pet
inventorypets:pet_mishumaa_saba, Mishumaa Saba Pet
inventorypets:pet_politically_correct, Politically Correct Pet
inventorypets:april_fool_pet, April Fool Pet
inventorypets:start_button, Start Button
inventorypets:windows_7, Windoes 7
inventorypets:windows_8, Windoes 8
inventorypets:windows_31, Windoes 3.1
inventorypets:windows_me, Windoes ME
inventorypets:windows_mojave, Windoes Mojave
inventorypets:windows_xp, Windoes XP
inventorypets:xerox_parc_gui, Xerox PARC GUI
inventorypets:blue_screen_of_death, Blue Screen of Death
inventorypets:rock_candy, Rock Candy
inventorypets:easter_egg, Easter Egg
inventorypets:petachieveitem1, item.inventorypets_petachieveitem1.name
inventorypets:petachieveitem5, item.inventorypets_petachieveitem5.name
inventorypets:petachieveitem10, item.inventorypets_petachieveitem10.name
inventorypets:petachieveitem20, item.inventorypets_petachieveitem20.name
inventorypets:petachieveitemall, item.inventorypets_petachieveitemall.name
inventorypets:petachieveitemgeneral, item.inventorypets_petachieveitemgeneral.name
malisisdoors:wood_sliding_door, Wooden Glass Door
malisisdoors:iron_sliding_door, Iron Glass Door
malisisdoors:jail_door, Jail Door
malisisdoors:laboratory_door, Laboratory Door
malisisdoors:factory_door, Factory Door
malisisdoors:shoji_door, Shoji Door
malisisdoors:curtain_white, White Curtain
malisisdoors:curtain_orange, Orange Curtain
malisisdoors:curtain_magenta, Magenta Curtain
malisisdoors:curtain_light_blue, Light Blue Curtain
malisisdoors:curtain_yellow, Yellow Curtain
malisisdoors:curtain_lime, Lime Curtain
malisisdoors:curtain_pink, Pink Curtain
malisisdoors:curtain_gray, Gray Curtain
malisisdoors:curtain_silver, SilverCurtain
malisisdoors:curtain_cyan, Cyan Curtain
malisisdoors:curtain_purple, Purple Curtain
malisisdoors:curtain_blue, Blue Curtain
malisisdoors:curtain_brown, Brown Curtain
malisisdoors:curtain_green, Green Curtain
malisisdoors:curtain_red, Red Curtain
malisisdoors:curtain_black, Black Curtain
malisisdoors:customdooritem, Custom Door
malisisdoors:saloon, Saloon Door
malisisdoors:sliding_trapdoor, Sliding Trapdoor
malisisdoors:trapdoor_acacia, Acacia Trapdoor
malisisdoors:trapdoor_birch, Birch Trapdoor
malisisdoors:trapdoor_dark_oak, Dark Oak Trapdoor
malisisdoors:trapdoor_jungle, Jungle Trapdoor
malisisdoors:trapdoor_spruce, Spruce Trapdoor
malisisdoors:camofencegate, Camo Fence Gate
malisisdoors:verticalhatch, Reinforced Door
malisisdoors:garage_door, Garage Door
malisisdoors:carriage_door, Carriage Door
malisisdoors:medieval_door, Medieval Door
malisisdoors:big_door_oak_3x3, Large Oak Double Doors
malisisdoors:big_door_spruce_3x3, Large Spruce Double Doors
malisisdoors:big_door_birch_3x3, Large Birch Double Doors
malisisdoors:big_door_jungle_3x3, Large Jungle Double Doors
malisisdoors:big_door_acacia_3x3, Large Acacia Double Doors
malisisdoors:big_door_dark_oak_3x3, Large Dark Oak Double Doors
malisisdoors:big_door_iron_3x3, Large Iron Double Doors
malisisdoors:big_door_rusty_3x3, Large Rusty Iron Double Doors
malisisdoors:rustyhatch, Rusty Hatch
